"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date","has_company","has_agent","adr_win","lead_time_win","stays_in_week_nights_win","stays_in_weekend_nights_win"
"Resort Hotel","1",96,2015,"July",27,1,2,8,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"E","E",0,"No Deposit","0","0",0,"Transient",108.3,0,2,"Canceled",2015-05-29,"No","No",108.3,96,8,2
"Resort Hotel","0",69,2015,"July",27,2,2,4,2,0,0,"BB","IRL","Offline TA/TO","TA/TO","0",0,0,"A","C",0,"No Deposit","175","0",0,"Transient",65.5,0,0,"Check-Out",2015-07-08,"No","Yes",65.5,69,4,2
"Resort Hotel","1",45,2015,"July",27,2,1,3,3,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","241","0",0,"Transient",108.8,0,1,"Canceled",2015-05-19,"No","Yes",108.8,45,3,1
"Resort Hotel","1",40,2015,"July",27,2,1,3,3,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","241","0",0,"Transient",108.8,0,1,"Canceled",2015-06-19,"No","Yes",108.8,40,3,1
"Resort Hotel","0",15,2015,"July",27,2,1,3,2,0,0,"BB","ESP","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",98,0,0,"Check-Out",2015-07-06,"No","Yes",98,15,3,1
"Resort Hotel","0",36,2015,"July",27,2,1,3,3,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","241","0",0,"Transient",108.8,0,1,"Check-Out",2015-07-06,"No","Yes",108.8,36,3,1
"Resort Hotel","1",43,2015,"July",27,2,1,3,3,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","241","0",0,"Transient",108.8,0,0,"Canceled",2015-05-23,"No","Yes",108.8,43,3,1
"Resort Hotel","0",70,2015,"July",27,2,2,3,2,0,0,"HB","ROU","Direct","Direct","0",0,0,"E","E",0,"No Deposit","250","0",0,"Transient",137,0,1,"Check-Out",2015-07-07,"No","Yes",137,70,3,2
"Resort Hotel","1",45,2015,"July",27,2,2,3,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"G","G",0,"No Deposit","241","0",0,"Transient",117.81,0,0,"Canceled",2015-05-18,"No","Yes",117.81,45,3,2
"Resort Hotel","0",45,2015,"July",27,2,2,3,2,0,0,"BB","IRL","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","8","0",0,"Contract",79.5,0,0,"Check-Out",2015-07-07,"No","Yes",79.5,45,3,2
"Resort Hotel","0",16,2015,"July",27,2,2,3,2,0,0,"BB","ESP","Direct","Direct","0",0,0,"F","F",0,"No Deposit","0","0",0,"Transient",123,0,0,"Check-Out",2015-07-07,"No","No",123,16,3,2
"Resort Hotel","0",107,2015,"July",27,2,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",110.7,0,2,"Check-Out",2015-07-09,"No","Yes",110.7,107,5,2
"Resort Hotel","1",47,2015,"July",27,2,2,5,2,2,0,"BB","PRT","Online TA","TA/TO","0",0,0,"G","G",0,"No Deposit","240","0",0,"Transient",153,0,0,"Canceled",2015-06-02,"No","Yes",153,47,5,2
"Resort Hotel","0",96,2015,"July",27,2,2,5,2,0,0,"BB","ESP","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","134","0",0,"Transient",58.95,0,1,"Check-Out",2015-07-09,"No","Yes",58.95,96,5,2
"Resort Hotel","0",113,2015,"July",27,2,2,5,2,0,0,"BB","NOR","Offline TA/TO","TA/TO","0",0,0,"E","E",0,"No Deposit","156","0",0,"Transient-Party",82.88,0,2,"Check-Out",2015-07-09,"No","Yes",82.88,113,5,2
"Resort Hotel","0",90,2015,"July",27,2,2,5,2,0,0,"HB","GBR","Offline TA/TO","TA/TO","0",0,0,"A","B",1,"No Deposit","243","0",0,"Contract",82.35,0,0,"Check-Out",2015-07-09,"No","Yes",82.35,90,5,2
"Resort Hotel","0",50,2015,"July",27,2,2,5,2,0,0,"HB","IRL","Online TA","TA/TO","0",0,0,"E","F",1,"No Deposit","241","0",0,"Transient",119.35,0,1,"Check-Out",2015-07-09,"No","Yes",119.35,50,5,2
"Resort Hotel","0",113,2015,"July",27,2,2,5,2,0,0,"BB","NOR","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","156","0",0,"Transient-Party",67.58,0,2,"Check-Out",2015-07-09,"No","Yes",67.58,113,5,2
"Resort Hotel","0",93,2015,"July",27,2,3,8,2,0,0,"BB","IRL","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","156","0",0,"Contract",56.01,0,0,"Check-Out",2015-07-13,"No","Yes",56.01,93,8,3
"Resort Hotel","0",76,2015,"July",27,2,4,10,2,0,0,"BB","OMN","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","243","0",0,"Contract",110.7,0,0,"Check-Out",2015-07-16,"No","Yes",110.7,76,10,4
"Resort Hotel","0",3,2015,"July",27,2,0,1,2,0,0,"BB","ESP","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",88.2,1,0,"Check-Out",2015-07-03,"No","Yes",88.2,3,1,0
"Resort Hotel","0",1,2015,"July",27,2,0,1,2,0,0,"BB","ARG","Online TA","TA/TO","0",0,0,"H","H",0,"No Deposit","240","0",0,"Transient",147,1,0,"Check-Out",2015-07-03,"No","Yes",147,1,1,0
"Resort Hotel","0",1,2015,"July",27,2,0,1,2,2,0,"BB","ESP","Direct","Direct","0",0,0,"C","C",0,"No Deposit","0","0",0,"Transient",107,1,2,"Check-Out",2015-07-03,"No","No",107,1,1,0
"Resort Hotel","0",0,2015,"July",27,2,0,1,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"H","H",0,"No Deposit","0","0",0,"Transient",147,0,0,"Check-Out",2015-07-03,"No","No",147,0,1,0
"Resort Hotel","0",0,2015,"July",27,2,0,1,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","D",0,"No Deposit","240","0",0,"Transient",117.9,0,2,"Check-Out",2015-07-03,"No","Yes",117.9,0,1,0
"Resort Hotel","0",0,2015,"July",27,2,0,1,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"G","G",0,"No Deposit","0","0",0,"Transient",123,0,0,"Check-Out",2015-07-03,"No","No",123,0,1,0
"Resort Hotel","0",14,2015,"July",27,2,0,2,2,0,0,"BB","USA","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","242","0",0,"Transient",98,0,1,"Check-Out",2015-07-04,"No","Yes",98,14,2,0
"Resort Hotel","0",10,2015,"July",27,2,0,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"G","G",0,"No Deposit","241","0",0,"Transient",117.81,0,0,"Check-Out",2015-07-04,"No","Yes",117.81,10,2,0
"Resort Hotel","0",5,2015,"July",27,2,0,2,2,0,0,"BB","IRL","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","240","0",0,"Transient",135,1,2,"Check-Out",2015-07-04,"No","Yes",135,5,2,0
"Resort Hotel","0",17,2015,"July",27,2,0,3,2,0,0,"BB","ESP","Direct","Direct","0",0,0,"F","F",0,"No Deposit","250","0",0,"Transient",133,0,1,"Check-Out",2015-07-05,"No","Yes",133,17,3,0
"Resort Hotel","0",93,2015,"July",27,2,0,3,2,0,0,"BB","IRL","Offline TA/TO","TA/TO","0",0,0,"A","C",0,"No Deposit","115","0",0,"Contract",58.95,0,0,"Check-Out",2015-07-05,"No","Yes",58.95,93,3,0
"Resort Hotel","1",3,2015,"July",27,2,0,3,2,0,0,"HB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",136.33,0,2,"Canceled",2015-06-29,"No","Yes",136.33,3,3,0
"Resort Hotel","0",10,2015,"July",27,3,0,2,2,2,0,"BB","USA","Online TA","TA/TO","0",0,0,"G","H",0,"No Deposit","240","0",0,"Transient",153,1,0,"Check-Out",2015-07-05,"No","Yes",153,10,2,0
"Resort Hotel","0",3,2015,"July",27,3,0,2,2,0,0,"BB","ESP","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",110.5,0,0,"Check-Out",2015-07-05,"No","Yes",110.5,3,2,0
"Resort Hotel","0",51,2015,"July",27,3,0,2,2,0,0,"BB","POL","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","242","0",0,"Transient",97,0,0,"Check-Out",2015-07-05,"No","Yes",97,51,2,0
"Resort Hotel","1",71,2015,"July",27,3,0,2,3,0,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","242","0",0,"Transient",110.3,0,2,"Canceled",2015-06-16,"No","Yes",110.3,71,2,0
"Resort Hotel","1",63,2015,"July",27,3,0,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",82,0,2,"Canceled",2015-06-18,"No","Yes",82,63,2,0
"Resort Hotel","1",62,2015,"July",27,3,0,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","240","0",0,"Transient",97,0,1,"Canceled",2015-07-03,"No","Yes",97,62,2,0
"Resort Hotel","1",101,2015,"July",27,3,0,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",73.8,0,1,"Canceled",2015-06-12,"No","Yes",73.8,101,2,0
"Resort Hotel","0",2,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","3","0",0,"Transient",91.5,0,0,"Check-Out",2015-07-05,"No","Yes",91.5,2,2,0
"Resort Hotel","0",15,2015,"July",27,3,0,2,2,0,0,"BB","ESP","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",114.5,0,0,"Check-Out",2015-07-05,"No","Yes",114.5,15,2,0
"Resort Hotel","1",51,2015,"July",27,3,0,2,3,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","242","0",0,"Transient",110.3,0,0,"Canceled",2015-06-09,"No","Yes",110.3,51,2,0
"Resort Hotel","0",3,2015,"July",27,3,1,2,2,0,0,"BB","ESP","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",90.9,1,0,"Check-Out",2015-07-06,"No","Yes",90.9,3,2,1
"Resort Hotel","1",48,2015,"July",27,3,1,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","240","0",0,"Transient",123,0,0,"Canceled",2015-05-26,"No","Yes",123,48,2,1
"Resort Hotel","0",2,2015,"July",27,3,2,2,1,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",122,0,0,"Check-Out",2015-07-07,"No","Yes",122,2,2,2
"Resort Hotel","0",72,2015,"July",27,3,2,2,2,0,0,"BB","DEU","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","105","0",0,"Transient",110.7,1,0,"Check-Out",2015-07-07,"No","Yes",110.7,72,2,2
"Resort Hotel","0",81,2015,"July",27,3,2,6,3,0,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","5","0",0,"Transient",85.86,0,0,"Check-Out",2015-07-11,"No","Yes",85.86,81,6,2
"Resort Hotel","0",99,2015,"July",27,3,2,7,2,0,0,"BB","FRA","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","40","0",0,"Contract",58.95,0,0,"Check-Out",2015-07-12,"No","Yes",58.95,99,7,2
"Resort Hotel","1",368,2015,"July",27,3,3,7,2,0,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","40","0",0,"Contract",55.68,0,0,"Canceled",2015-05-19,"No","Yes",55.68,347,7,3
"Resort Hotel","0",364,2015,"July",27,3,3,7,2,0,0,"BB","GBR","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","40","0",0,"Contract",55.68,0,0,"Check-Out",2015-07-13,"No","Yes",55.68,347,7,3
"Resort Hotel","1",81,2015,"July",27,3,3,7,2,0,0,"HB","PRT","Direct","Direct","0",0,0,"A","A",2,"No Deposit","250","0",0,"Transient",124,0,1,"Canceled",2015-06-09,"No","Yes",124,81,7,3
"Resort Hotel","0",99,2015,"July",27,3,3,7,2,0,0,"HB","GBR","Offline TA/TO","TA/TO","0",0,0,"E","E",0,"No Deposit","115","0",0,"Contract",111.15,0,0,"Check-Out",2015-07-13,"No","Yes",111.15,99,7,3
"Resort Hotel","0",324,2015,"July",27,3,4,10,2,0,0,"HB","GBR","Offline TA/TO","TA/TO","0",0,0,"E","E",0,"No Deposit","40","0",0,"Contract",134.73,0,0,"Check-Out",2015-07-17,"No","Yes",134.73,324,10,4
"Resort Hotel","0",69,2015,"July",27,3,4,10,2,0,0,"BB","GBR","Online TA","TA/TO","0",0,0,"F","F",1,"No Deposit","241","0",0,"Transient",92.45,0,1,"Check-Out",2015-07-17,"No","Yes",92.45,69,10,4
"Resort Hotel","1",79,2015,"July",27,3,6,15,2,1,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","242","0",0,"Transient",108.73,0,2,"Canceled",2015-04-15,"No","Yes",108.73,79,10,4
"Resort Hotel","0",12,2015,"July",27,3,0,1,2,0,0,"BB","GBR","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",73.8,0,0,"Check-Out",2015-07-04,"No","Yes",73.8,12,1,0
"Resort Hotel","0",9,2015,"July",27,3,0,1,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",98,1,2,"Check-Out",2015-07-04,"No","Yes",98,9,1,0
"Resort Hotel","0",1,2015,"July",27,3,0,1,2,0,0,"BB","ESP","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",131,0,1,"Check-Out",2015-07-04,"No","Yes",131,1,1,0
"Resort Hotel","0",21,2015,"July",27,3,0,1,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","240","0",0,"Transient",123,0,0,"Check-Out",2015-07-04,"No","Yes",123,21,1,0
"Resort Hotel","0",9,2015,"July",27,3,0,1,2,0,0,"BB","USA","Online TA","TA/TO","0",0,0,"C","C",0,"No Deposit","241","0",0,"Transient",94.71,0,0,"Check-Out",2015-07-04,"No","Yes",94.71,9,1,0
"Resort Hotel","0",109,2015,"July",27,3,0,1,2,0,0,"BB","BEL","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",123,0,2,"Check-Out",2015-07-04,"No","Yes",123,109,1,0
"Resort Hotel","1",109,2015,"July",27,3,0,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",123,0,1,"Canceled",2015-05-26,"No","Yes",123,109,2,0
"Resort Hotel","1",72,2015,"July",27,3,0,2,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",73.8,0,1,"Canceled",2015-06-29,"No","Yes",73.8,72,2,0
"Resort Hotel","1",63,2015,"July",27,3,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"F","F",0,"No Deposit","242","0",0,"Transient",117,0,1,"Canceled",2015-05-13,"No","Yes",117,63,5,2
"Resort Hotel","0",63,2015,"July",27,3,2,5,3,0,0,"HB","ESP","Offline TA/TO","TA/TO","0",0,0,"E","E",0,"No Deposit","105","0",0,"Transient",196.54,0,1,"Check-Out",2015-07-10,"No","Yes",196.54,63,5,2
"Resort Hotel","0",101,2015,"July",27,3,2,5,2,1,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","240","0",0,"Transient",99.3,1,2,"Check-Out",2015-07-10,"No","Yes",99.3,101,5,2
"Resort Hotel","0",102,2015,"July",27,3,2,5,2,0,0,"BB","DEU","Direct","Direct","0",0,0,"E","E",0,"No Deposit","250","0",0,"Transient",90.95,0,0,"Check-Out",2015-07-10,"No","Yes",90.95,102,5,2
"Resort Hotel","0",4,2015,"July",27,4,2,1,2,0,0,"BB","ESP","Direct","Direct","0",0,0,"A","C",0,"No Deposit","250","0",0,"Transient",92.67,0,1,"Check-Out",2015-07-07,"No","Yes",92.67,4,1,2
"Resort Hotel","0",98,2015,"July",27,4,2,1,2,0,0,"BB","FRA","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","8","0",0,"Transient",71.55,1,0,"Check-Out",2015-07-07,"No","Yes",71.55,98,1,2
"Resort Hotel","0",92,2015,"July",27,4,2,4,1,2,0,"BB","FRA","Offline TA/TO","TA/TO","0",0,0,"F","F",0,"No Deposit","241","0",0,"Transient",96.49,0,2,"Check-Out",2015-07-10,"No","Yes",96.49,92,4,2
"Resort Hotel","0",95,2015,"July",27,4,2,4,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","C",0,"No Deposit","240","0",0,"Transient",85.8,1,2,"Check-Out",2015-07-10,"No","Yes",85.8,95,4,2
"Resort Hotel","0",102,2015,"July",27,4,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","240","0",0,"Transient",96.3,0,1,"Check-Out",2015-07-11,"No","Yes",96.3,102,5,2
"Resort Hotel","1",26,2015,"July",27,4,2,5,2,2,0,"BB","PRT","Online TA","TA/TO","0",0,0,"H","H",0,"No Deposit","240","0",0,"Transient",163,0,0,"Canceled",2015-06-09,"No","Yes",163,26,5,2
"Resort Hotel","1",73,2015,"July",27,4,2,5,3,0,0,"HB","PRT","Direct","Direct","0",0,0,"D","D",0,"No Deposit","250","0",0,"Transient",172,0,1,"Canceled",2015-05-20,"No","Yes",172,73,5,2
"Resort Hotel","1",102,2015,"July",27,4,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",110.7,0,1,"Canceled",2015-04-22,"No","Yes",110.7,102,5,2
"Resort Hotel","0",115,2015,"July",27,4,2,5,2,0,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"A","A",0,"No Deposit","134","0",0,"Transient",58.95,0,1,"Check-Out",2015-07-11,"No","Yes",58.95,115,5,2
"Resort Hotel","0",102,2015,"July",27,4,2,5,2,0,1,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",73.8,0,2,"Check-Out",2015-07-11,"No","Yes",73.8,102,5,2
"Resort Hotel","0",86,2015,"July",27,4,2,5,2,0,0,"BB","CHE","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","240","0",0,"Transient",97,0,2,"Check-Out",2015-07-11,"No","Yes",97,86,5,2
"Resort Hotel","0",78,2015,"July",27,4,2,5,2,0,1,"HB","PRT","Online TA","TA/TO","0",0,0,"E","F",0,"No Deposit","240","0",0,"Transient",139,0,2,"Check-Out",2015-07-11,"No","Yes",139,78,5,2
"Resort Hotel","0",52,2015,"July",27,4,2,5,2,0,0,"BB","GBR","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","147","0",0,"Transient",67.24,0,0,"Check-Out",2015-07-11,"No","Yes",67.24,52,5,2
"Resort Hotel","0",29,2015,"July",27,4,2,6,3,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","241","0",0,"Transient",116.5,0,1,"Check-Out",2015-07-12,"No","Yes",116.5,29,6,2
